claim_id,section,statement,claim_type,tier,evidence,status,priority,last_checked,note
1.0-egc-definition,1,內皮糖萼是覆蓋在血管內皮細胞管腔表面、含水且富含碳水化合物的結構層。,definition,,,unverified,low,,
1.1-dynamic-organelle,1.1,eGC 應被概念化為動態內皮細胞器，而非僅由厚度定義的靜態屏障。,definition,,,unverified,med,,框架性主張；需找到提出此定義的關鍵綜述
1.1-qualitative-precedes-dysfunction,1.1,糖萼的性質改變（qualitative alterations）先於可偵測的內皮功能障礙出現。,mechanism,,,unverified,high,,全文核心論點，必須有縱向或時序性證據支持
1.2-ecsod-mito-protection,1.2,糖萼結合的 ecSOD 可阻止外部氧化衝擊傳入細胞，避免線粒體 ROS 誘導的通透性轉換與凋亡。,mechanism,,,unverified,high,,文件標示為 2025 年新興數據，需查證
1.2-ext-activity-drop,1.2,線粒體功能障礙或氧化壓力會降低 EXT1/EXT2 活性，導致 HS 鏈變短與硫酸化異常。,mechanism,,,unverified,high,,
1.2-mito-glycocalyx-axis,1.2,內皮線粒體代謝與糖萼結構之間存在雙向調節軸。,mechanism,,,unverified,high,,新興概念，需確認是否已有明確命名此軸的文獻
1.2-udp-nad-dependency,1.2,糖萼合成依賴 UDP-糖庫可用性與胞質 NAD+/NADH 比值。,mechanism,,,unverified,med,,
1.3-capillary-recruitment,1.3,糖萼參與微循環的微血管徵召，在血流增加時協助開放更多毛細血管。,mechanism,,,unverified,med,,
2.1.1-consensus-2-4um,2.1.1,臨床與多數活體測量的共識厚度值落在 2-4 μm。,measurement,,,unverified,high,,衝突：與 2.2「微血管 0.2-0.5 μm」無法同時成立，除非指定血管床
2.1.1-em-underestimate,2.1.1,傳統電子顯微鏡的脫水固定步驟導致糖萼坍塌，因而顯著低估其厚度。,measurement,,,unverified,low,,
2.1.1-extreme-11um,2.1.1,部分文獻報告糖萼功能性水合層厚度可達 11 μm。,measurement,,,unverified,high,,極端值，需找到原始出處並確認測量方法與血管床
2.1.1-invivo-0.5-5um,2.1.1,活體測量顯示糖萼有效厚度約為 0.5-5 μm。,measurement,,,unverified,high,,衝突：與 2.2 各血管床數值需對齊
2.1.2-pbr-inverse,2.1.2,PBR 為逆向指標：PBR 升高代表糖萼變薄、受損或屏障功能喪失。,measurement,,,unverified,high,,整套影像評估的邏輯基礎
2.1.2-pbr-sampling,2.1.2,PBR 分析每 10 μm 設一測量點，每點放置 21 條間隔 0.5 μm 的測量線分析紅血球柱寬度分布。,measurement,,,unverified,med,,
2.1.2-sdf-540nm,2.1.2,SDF 成像使用 540nm 綠光 LED，該波長被血紅素特異性吸收以顯影微血管網絡。,measurement,,,unverified,low,,
2.1.2-sdf-optics,2.1.2,SDF 系統配備 5 倍物鏡與 0.2 NA，放大約 325 倍，以每秒 23 幀捕捉影像。,measurement,,,unverified,med,,硬體規格，應可由儀器文獻確認
2.2-artery-2-3um,2.2,大動脈糖萼厚度可達 2-3 μm。,measurement,,,unverified,med,,
2.2-brain-1-3um,2.2,腦微血管糖萼厚度約 1-3 μm，為血腦屏障的第一道防線。,measurement,,,unverified,med,,
2.2-cap-0.2-0.5um,2.2,微血管糖萼厚度約 0.2-0.5 μm。,measurement,,,unverified,high,,衝突：與 2.1.1 共識值 2-4 μm 矛盾
2.2-glomerular-hs-charge,2.2,腎絲球微血管糖萼極厚且富含 HS，藉負電荷排斥白蛋白以維持電荷選擇性屏障。,mechanism,,,unverified,med,,
2.2-liver-porous-physiological,2.2,肝竇狀血管糖萼薄且多孔屬生理性適應而非病理性受損。,mechanism,,,unverified,med,,此為詮釋性判斷，需確認是否有直接證據或僅為推論
2.2-lung-thin-sdc1,2.2,肺微血管糖萼相對較薄（約 0.4-0.5 μm）且富含 Syndecan-1，有助氣體交換與中性球快速募集。,mechanism,,,unverified,med,,
2.2-pathological-50-90pct,2.2,病理狀態下糖萼厚度可減少 50-90%。,measurement,,,unverified,high,,範圍極寬，需確認測量情境
2.2-repair-7-14d,2.2,糖萼完全重建需要 7-14 天。,mechanism,,,unverified,high,,治療窗口的關鍵依據，須查證物種與模型
2.2-sdc1-halflife-2-8h,2.2,Syndecan-1 的半衰期約為 2-8 小時。,mechanism,,,unverified,high,,具體動力學數字，需原始出處
2.2-sepsis-shedding-30min,2.2,敗血症中糖萼可於 30 分鐘內大量脫落。,mechanism,,,unverified,high,,
2.3.1-cs-10-40pct,2.3.1,硫酸軟骨素約佔 GAG 總量的 10-40%，主要提供結構剛性。,definition,,,unverified,med,,衝突：見 2.3.1-hs-50-90pct
2.3.1-ha-fragmentation-disease,2.3.1,透明質酸碎片化與老化、發炎及 HFpEF 密切相關。,epidemiology,,,unverified,med,,
2.3.1-ha-viscoelastic,2.3.1,透明質酸以非共價方式穿插於糖萼中，吸附水分以維持黏彈性與立體結構。,mechanism,,,unverified,med,,
2.3.1-hs-50-90pct,2.3.1,硫酸乙醯肝素為含量最豐富的 GAG，約佔糖萼 GAG 總量的 50-90%。,definition,,,unverified,high,,衝突：與 CS 的 10-40% 上界相加超過 100%
2.3.2-glypican-lipid-raft,2.3.2,Glypicans 經 GPI 錨定於脂筏區域，參與 Wnt 訊號與生長因子梯度形成。,mechanism,,,unverified,low,,
2.3.2-sdc4-mechanotransduction,2.3.2,Syndecan-4 具獨特胞內結構域可直接連接細胞骨架，是機械轉導的關鍵樞紐。,mechanism,,,unverified,high,,
2.3.3-adhesion-masking,2.3.3,健康狀態下長鏈 GAG 物理遮蔽 ICAM-1 與 VCAM-1，防止非發炎狀態下的白血球黏附。,mechanism,,,unverified,med,,
2.4-3o-sulfation-atiii,2.4,HS 鏈上的 3-O 硫酸化五醣序列是結合抗凝血酶 III 的關鍵，缺乏此修飾則 HS 總量再多也無抗凝作用。,mechanism,,,unverified,high,,「質重於量」論點的主要支柱
2.4-6o-sulfation-gf,2.4,6-O 硫酸化主要介導 VEGF、FGF 等生長因子的結合。,mechanism,,,unverified,med,,
2.4-mispatterning-precedes,2.4,發炎早期內皮可合成總量正常但硫酸化錯位的 HS 鏈，導致 NO 反應失靈與趨化因子錯誤呈現。,mechanism,,,unverified,high,,全文核心論點之一，必須有直接證據
2.4-n-sulfation-chemokine,2.4,N-硫酸化影響趨化因子呈現與免疫細胞趨化作用。,mechanism,,,unverified,med,,
2.4-precursor-insufficient,2.4,若細胞內硫酸化酶已受損，單純補充 GAG 前體無法恢復糖萼功能。,therapeutic,,,unverified,high,,直接影響治療策略判斷
3.1-charge-repulsion-40pct,3.1,正常剪切應力下，糖萼的電荷排斥機制可減少高達 40% 的跨內皮滲漏。,mechanism,,,unverified,high,,文件標示為 2025 年研究；精確百分比須逐字核對
3.1-revised-starling,3.1,傳統 Starling 定律已修正為糖萼層-內皮表層模型，ESL 才是決定跨毛細血管交換的關鍵區域。,mechanism,,,unverified,med,,
3.1-steric-70kda,3.1,糖萼以空間位阻阻擋 LDL 及大於 70kDa 的蛋白質靠近內皮細胞膜。,mechanism,,,unverified,med,,
3.2-enos-ser1177,3.2,鈣離子內流經 Src/PI3K/Akt 級聯導致 eNOS 於 Ser1177 磷酸化並釋放 NO。,mechanism,,,unverified,med,,
3.2-piezo1-complex,3.2,Syndecan-4/Piezo1/PECAM-1 複合體為核心剪切力感測機器，糖萼變形觸發 Piezo1 開啟致鈣離子內流。,mechanism,,,unverified,high,,
3.2-sdc4-ko-no-25pct,3.2,CRISPR 敲除 Syndecan-4 的內皮模型中，NO 生物利用度降低 25%。,mechanism,,,unverified,high,,精確數字＋特定模型，須找到原始研究
3.3-atiii-thousandfold,3.3,HS 的 3-O 硫酸化序列與 ATIII 結合後，可使其抑制凝血酶與因子 Xa 的活性提高數千倍。,mechanism,,,unverified,med,,
3.3-chemokine-cxcl12,3.3,糖萼結合並呈現 CXCL12 等趨化因子，引導白血球在正確時空遷移。,mechanism,,,unverified,med,,
